Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9036966419219971,0.04129588715732098,0.4507482194900513,0.30261809468269346,13.380962623527582,0.3536547765135765
2,0.5901755952835083,0.020366491749882698,0.6504944825172424,0.20528863221406937,17.78545366571541,0.47299357280135157
3,0.2031404811143875,0.017760597318410874,0.8297521734237671,0.015874120173975825,18.61258841485798,0.5131424151360988
4,0.16915041595697403,0.015675902739167212,0.8706448674201965,0.006492440417641774,20.35621384709463,0.552979230582714
5,0.22858067840337754,0.013251307085156441,0.8039827966690063,0.048337377268180715,19.22196400529299,0.5479543700814247
6,0.7510147136449814,0.012865622118115426,0.3955722827575886,0.06616811966993347,19.89904588600062,0.5696644055843353
7,1.0,0.012355769202113152,1.075953371953986e-09,2.6485998561032176e-10,19.21109957522741,0.5705655643343925
8,1.0,0.014305854514241219,2.257595920207578e-09,4.018338992106685e-10,20.95883049409272,0.588079477250576
9,1.0,0.01183676153421402,1.4097538750257322e-09,2.201009972890855e-10,19.99741179178203,0.5814373448491097
10,1.0,0.010892002806067468,1.0476175563156609e-09,2.176752228466583e-10,20.968221326446454,0.611229483783245
11,1.0,0.010421279519796371,1.3906179452405354e-09,2.1833015478867068e-10,21.744315221593812,0.6140186014771462
12,1.0,0.010284780263900757,2.241301229055637e-09,1.9959641245348436e-10,20.685448353595667,0.6081699138879776
13,1.0,0.010291939675807953,1.5846757563109381e-09,1.9620040203616185e-10,21.394486108171712,0.6233452588319779
14,1.0,0.009369337558746338,2.576577899926491e-09,3.0455095292869494e-10,21.193969327830008,0.6282063728570938
15,1.0,0.010769697725772858,9.158613623050371e-10,3.1763761433600824e-10,21.324854798676924,0.6357203334569931
16,1.0,0.01021493274718523,1.1749291606300006e-09,2.6542882475277807e-10,22.318934991826428,0.6537921556830406
17,1.0,0.009080925434827804,1.0782994208646812e-09,2.0835561581611374e-10,22.283534671975858,0.6599076384305954
18,1.0,0.008758330903947353,1.01794830009716e-09,1.3289253697479354e-10,22.679629287115937,0.6598483389616012
19,1.0,0.008603276647627355,1.5698224886673272e-09,2.2063144589079542e-10,22.342806621034278,0.6655043390393257
20,1.0,0.009585800394415856,1.2192820286749395e-09,3.0095527292495204e-10,22.463187707519054,0.6593498608469963
21,0.9999999761581421,0.00914788592606783,2.4746992214330633e-08,3.421577104978368e-10,19.185594946325182,0.6533607625961304
22,1.0,0.00837915226817131,1.2021581724530606e-09,1.0621527088416905e-10,22.93799501805242,0.67783527135849
23,1.0,0.00807276375591755,1.476461946037233e-09,4.1737929695750966e-10,21.647505090959903,0.676677640080452
24,1.0,0.00821197520941496,1.2307548791223865e-09,2.2825710210838678e-10,22.648773161443998,0.6843146607279778
25,1.0,0.007929262705147266,9.177030324547531e-10,2.482127114955546e-10,22.47748645607529,0.6921520695090294
26,1.0,0.007128364183008671,9.133189560195376e-10,3.0150572816189935e-10,22.819886578861386,0.698076668381691
27,1.0,0.007812237814068795,8.647217730750611e-10,2.40837448317599e-10,22.538103447999774,0.6931245830655098
28,1.0,0.007764226514846087,5.523900786785774e-10,1.7818047315376616e-10,23.182203746576402,0.6957826706767082
29,0.9999999952316284,0.008047238439321518,5.7074854198369e-09,2.902384277359005e-10,22.375712032455283,0.6805310833454132
30,1.0,0.008275808468461036,1.0662834148966737e-09,2.9037096449524566e-10,22.915791024497423,0.7004232683777809
31,1.0,0.007442391812801361,9.323231031643787e-10,3.932151598773359e-10,23.252079339335552,0.7019500625133515
32,1.0,0.007853055987507105,1.3779602292540715e-09,3.7783638606736505e-10,23.409759610628797,0.7044288396835328
33,1.0,0.00811555229127407,2.3205445343066344e-09,3.530753639457984e-10,22.973363218396873,0.700144781768322
34,1.0,0.006849881559610367,7.816695807294494e-10,2.1383735324120855e-10,23.1834322738476,0.701152363717556
35,0.9999999976158143,0.007384929358959198,4.2561526814033355e-09,7.183453801240525e-10,23.401472897838367,0.6988878840208054
36,1.0,0.007157127298414707,1.3563377321279547e-09,5.837573643918681e-10,21.94107862762571,0.7055372166633606
37,1.0,0.006964670140296221,1.5244366252664677e-09,2.752662209282164e-10,23.360078681561696,0.7058137822151184
38,1.0,0.006638612318783999,8.734632594986636e-10,2.1083316648073947e-10,23.91354467709906,0.7201082283258438
39,1.0,0.006670612581074238,1.6587836859649485e-09,2.926475664577488e-10,23.912887968694676,0.7157664901018143
40,1.0,0.007647228240966797,1.9104529414004644e-09,3.6353613397377416e-10,23.415612456764215,0.7144581612944603
41,1.0,0.007190476283431053,1.920024355062111e-09,4.206336529088972e-10,24.186202221040418,0.7199705848097802
42,0.9999999976158143,0.0067998780682682995,2.672936674219528e-09,4.5602888021356594e-10,24.01087811179838,0.7174740463495255
43,1.0,0.006789720170199871,1.4801927450402985e-09,8.486368641147379e-10,23.880805017926697,0.7205116912722588
44,1.0,0.006760717686265707,1.0723704213511099e-09,2.944022869932894e-10,23.93752818945856,0.7195499610900878
45,1.0,0.006490043587982655,1.454129134881299e-09,2.987814684551893e-10,23.649982963067757,0.7193870368599892
46,1.0,0.007171015441417694,1.1890555606797192e-09,1.775645385171387e-09,23.922691659705997,0.732114320397377
47,1.0,0.007470203712582588,2.5709763562531407e-09,9.808300782676581e-10,22.562891183713308,0.7198263964056969
48,1.0,0.007524516638368368,2.094953737430405e-09,4.2153781226045294e-10,23.410506643193223,0.7223418855667114
49,0.9999999976158143,0.006879052743315696,2.1375514491772663e-09,5.835941946363832e-10,24.025639843442214,0.7192847731709481
50,1.0,0.006501406263560057,1.0786236814830374e-09,5.125844604325636e-10,24.03043926333817,0.7250162562727929
51,1.0,0.006654136776924133,8.054374611710102e-10,3.505914575319125e-10,23.223040149422765,0.723996519446373
52,1.0,0.006476999036967754,5.956755666502999e-10,2.4131410092387284e-10,23.562319691452764,0.731561528146267
53,1.0,0.006837839540094137,2.3649785141355296e-09,7.370522692173865e-10,22.332586231440196,0.7238238084316254
54,1.0,0.006297793313860893,2.420145325254808e-09,7.532825618827843e-10,24.01087258547696,0.7283268877863884
55,1.0,0.006340866684913635,1.4116032320821148e-09,3.8654562189988084e-10,24.500606969165197,0.7357616457343101
56,1.0,0.006116166636347771,5.618454657074778e-10,3.863542485937899e-10,24.394322050345124,0.7351673915982246
57,1.0,0.006335871145129204,1.8241905275218074e-09,5.877198874792989e-10,23.954236109260197,0.7347449436783791
58,1.0,0.006284984312951564,1.0849341658403234e-09,3.4137062149275366e-10,24.322288539670055,0.7354685747623444
59,1.0,0.006216774862259626,1.875800968997865e-09,4.24441483320992e-09,24.479852154005165,0.7334670251607895
60,0.9999999952316284,0.005894773621112109,3.3593618409266667e-09,1.3386848940477592e-09,24.176984912746164,0.7328320950269699
61,1.0,0.006178118381649255,2.283391067336993e-09,7.006899760408914e-10,24.16818709054194,0.7320317488908767
62,0.9999999976158143,0.006412399113178253,7.691996638525822e-09,2.4699411937945115e-09,21.69403008825888,0.7108074775338173
63,0.9999980235099792,0.007256304770708084,2.299483540859626e-06,3.360057685708462e-07,21.395036932160707,0.712073327600956
64,1.0,0.006664539016783238,1.3620921057722057e-09,3.342139454076687e-10,24.38471850244628,0.7298517370223999
65,1.0,0.006194178909063339,8.344972068918821e-10,3.618544758277054e-10,24.04123572183171,0.7299851149320602
66,1.0,0.006469416562467813,1.0295890029432543e-09,3.2710476105535233e-10,24.214376223980526,0.725932864844799
67,1.0,0.006103986129164696,1.9948451940310363e-09,4.449509821702335e-10,24.18710645181241,0.7407411339879036
68,1.0,0.005988775435835123,1.6906357847013e-09,5.57267530454375e-10,23.543745734674047,0.733330127298832
69,1.0,0.006738655380904675,3.2476614686416384e-09,1.250268374386465e-09,24.07330312286203,0.7343381518125534
70,1.0,0.006014555022120476,1.922801575182653e-09,5.94236504447565e-10,24.0430079270552,0.7276574736833572
71,1.0,0.006657276321202516,1.2540427141161103e-09,7.330677564976184e-10,22.641184921765138,0.7244219061732292
72,1.0,0.006727634258568287,1.3524655129160123e-09,5.489170784578334e-10,23.7369654257521,0.7253709492087365
73,0.9999999952316284,0.006094125956296921,4.846615264675336e-09,5.367318695048695e-10,23.84650826687772,0.7322386053204536
74,1.0,0.006349062249064445,1.087190513171521e-09,5.537077735207063e-10,24.371092724203166,0.7291185146570206
75,0.9999999761581421,0.006199339609593153,2.579099977806365e-08,2.12880679167915e-09,24.307026912513088,0.7369043707847596
76,1.0,0.005880878828465938,4.184847823274218e-09,2.9175561455652143e-09,24.27993036333011,0.7382021173834801
77,1.0,0.006110663358122111,9.65252485163326e-10,9.532542005752376e-10,24.11348949869391,0.730890990793705
78,0.9999997282028198,0.0066002940759062765,2.725270038506089e-07,4.868535874447132e-10,22.779105508148895,0.7385114824771881
79,1.0,0.006266180370002985,9.275422629961839e-10,4.282200394278846e-10,22.525565004354007,0.7370281180739403
80,1.0,0.00743590161204338,1.8928686029706656e-09,7.060542206449582e-10,22.78841693684821,0.7292111352086067
81,1.0,0.006209990773350001,1.2668643251112498e-09,6.4545295413998e-10,23.468144266765233,0.7208197546005249
82,1.0,0.007098920457065105,8.994422112662548e-10,3.0386533900195187e-10,23.035370887015997,0.7323742166161538
83,1.0,0.00623621528968215,1.1800967436581544e-09,5.691401405716335e-10,24.426809190605688,0.7338269144296646
84,1.0,0.006258563585579396,1.2208735777896607e-09,5.040564826641613e-10,24.724167651207356,0.7371964982151985
85,1.0,0.006163998432457447,7.738995555506278e-10,4.129622244164466e-10,24.315705694932884,0.7286976134777069
86,0.9999999952316284,0.006217337474226952,5.275777013036276e-09,9.129297701138128e-10,22.796350478837603,0.7315273869037628
87,0.9999991226196289,0.006282999850809574,9.77154914230116e-07,1.033848947784577e-07,23.97985227654887,0.7340950757265091
88,1.0,0.006481487024575472,8.543779883574132e-10,3.6817354387430614e-10,24.152749668697176,0.7375462481379509
89,0.9999999976158143,0.005685313940048218,5.163867125013155e-09,1.2672817639725053e-09,24.203445654904062,0.7413860443234443
90,1.0,0.005811983849853277,1.0047644805055712e-09,4.448036816651069e-10,24.572249998561002,0.743384477198124
91,1.0000000047683715,0.005863719750195741,5.549247219516218e-09,1.5022851875823306e-08,24.021326064554348,0.7316569077968598
92,1.0,0.00625670300796628,1.7254624445905975e-09,7.001694890540477e-10,24.09783027272802,0.736010539829731
93,1.0,0.006355503313243389,2.5822806137831832e-09,8.941946183504967e-10,24.52869632102836,0.7397733297944069
94,1.0,0.005802176333963871,1.1224514345764546e-09,6.874278934976274e-10,24.08270457912037,0.7401739853620529
95,1.0,0.0058486428670585155,1.5401841846340858e-09,9.489929431172327e-10,24.55653553757071,0.7405689558386803
96,1.0,0.006010157819837332,1.655171009140588e-09,9.255318811351998e-10,24.1857998308903,0.7421888449788093
97,0.9999999952316284,0.005790157131850719,6.7080339538616584e-09,8.666626660769339e-10,24.447431478324123,0.7450186413526535
98,1.0,0.005993722081184387,3.428440678021616e-09,1.0848340981084449e-09,24.503706297927263,0.7426472282409669
99,1.0,0.005522188488394022,2.0055697724785658e-09,8.599795003894073e-10,24.41432044793384,0.7443500930070877
100,1.0,0.005798956751823426,1.0279036732896429e-09,7.357542430863618e-10,24.60725052779911,0.7422013184428216
