Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9508221817016601,0.053357662111520765,0.37582380175590513,0.3053052335977554,12.208696624944091,0.258681818395853
2,0.7978164410591125,0.022470674216747283,0.6248479819297791,0.3965813851356506,18.127238905656885,0.351225326731801
3,0.7063975501060485,0.016624745465815067,0.5685705924034119,0.21859221175312996,19.22286600239366,0.5050424541532993
4,0.977124457359314,0.013576404750347137,0.6300115966796875,0.5842309999465942,20.256144023447153,0.5534653812646866
5,0.9347088313102723,0.012978149615228175,0.6656121182441711,0.5919692945480347,20.860782902152266,0.5910398560762405
6,0.9599016332626342,0.011374962367117405,0.6662841606140136,0.6189599680900574,20.96282717180452,0.6110022038221359
7,0.9834455728530884,0.010944575220346451,0.6796512365341186,0.664519898891449,19.17358789521369,0.6007673421502113
8,1.0032892942428588,0.010688088089227676,0.6598010897636414,0.6155815017223358,20.537669095865358,0.6228839382529259
9,1.0006011033058166,0.010759563110768795,0.4194073843955994,0.3995016002655029,21.39700173761037,0.6185671010613442
10,0.9851036071777344,0.010126192271709442,0.3210928392410278,0.30745022773742675,21.178832117625845,0.644277580678463
11,1.0012566566467285,0.008838645145297051,0.4061199140548706,0.4138887095451355,22.809133048141177,0.6686297449469566
12,1.006216859817505,0.007546781823039055,0.5175613713264465,0.5294058179855347,22.28920236169182,0.6872694730758667
13,0.9941014313697815,0.007442195378243924,0.6387641477584839,0.6280090951919556,22.13573402405182,0.6807466232776642
14,0.9932316327095032,0.007771799005568027,0.49419856786727906,0.4719444417953491,23.874536997240604,0.7050411048531532
15,1.0043884372711183,0.007388856299221516,0.3817045903205872,0.37908897519111634,23.487165106335897,0.7072388994693756
16,0.9980957412719726,0.007164109945297242,0.37619552850723265,0.371754310131073,22.776825401249408,0.6990044364333152
17,1.0058180570602417,0.007122169118374586,0.42566736817359924,0.43828192830085755,24.369479294654603,0.7275605905056
18,1.0020536041259767,0.00644774291664362,0.5169739985466003,0.5190544748306274,23.33441677806229,0.7366650882363319
19,1.0074568319320678,0.006032310500741005,0.5227749669551849,0.5247705578804016,24.3784202248653,0.7465918081998825
20,0.9970552301406861,0.005968598555773497,0.47346637487411497,0.45560397386550905,23.511808336430008,0.7439961865544319
